Nitrat;huek_250_he;buek_200_bodtyp;clc5_2018;gk_1000;humus_1000;hyraum_tr;Thuenen_2019;mundialis;NDVI
54.54;516;2;18;597;7;6301;888;10;7911
36.26666667;516;2;15;596;5;6301;555;20;7161
16.44444444;571;28;15;579;7;6402;888;10;8016
32.63571429;469;15;15;94;5;6301;888;20;4810
27.42727273;321;14;15;223;8;4104;10;20;6811
18.55;530;34;12;603;7;6203;34;60;6871
2.9;521;17;3;598;7;6301;888;40;3071
13.33333333;263;5;12;24;5;3101;888;40;7654
29.85;544;17;2;602;7;6203;888;40;6648
9.82;495;5;17;579;7;6402;888;10;7799
35.82666667;544;32;15;24;5;6203;10;20;6750
19.1;469;17;3;585;12;6302;888;40;4416
27.43;324;14;12;515;8;4104;10;60;8290
42.49090909;537;28;15;603;7;6203;888;40;7051
15.5;521;17;3;598;7;6301;888;40;6294
21.21428571;495;28;3;579;7;6402;888;30;4612
51.3;495;28;12;516;5;6402;91;60;6232
16.81666667;544;17;15;602;7;6203;10;20;7671
41.525;530;2;12;598;5;6203;888;20;6769
11.6047619;324;15;12;237;5;4104;888;20;6824
5.666666667;559;3;17;612;7;6202;888;10;6972
9.533333333;263;14;14;24;5;3101;999;40;5777
15.93333333;263;32;2;24;12;3101;888;10;7259
8.214285714;263;14;3;24;5;3101;888;20;6071
31.925;537;28;17;602;7;6203;888;10;8025
60.12;517;2;15;596;5;6301;888;10;7031
10.72;576;5;12;583;7;6302;10;20;6993
49.44444444;482;17;12;512;5;6501;31;20;6415
4.611111111;321;14;15;85;8;10101;160;20;7851
1.56;263;14;16;85;7;3101;888;10;8085
9.25;515;2;17;596;7;6301;888;10;8548
21.55;519;34;12;596;5;6301;160;20;7214
4.266666667;469;32;3;24;12;6301;888;40;5265
10.58;469;17;2;583;7;6302;888;20;7346
43.36666667;475;2;15;585;5;6302;10;20;6207
11.73333333;314;32;10;24;12;4104;888;40;6752
24.92;515;2;2;596;7;6301;888;40;5979
57.475;263;2;17;85;5;3101;888;20;6173
6.26;469;32;18;602;7;6203;888;40;7311
28.98;521;22;3;597;13;6301;888;40;2422
18.48;515;5;2;596;12;6301;888;50;6866
15.98571429;469;32;3;579;12;6402;888;40;4929
