GW-Nummer,GWL,x,y,eusr5000,aet,pdsi,pet,soil,srad,swe,NDVI,DHM
413,190.2789,411122.9578,5329461.741,133.5734,52.3958,-1.1159,64.0033,44.3533,134.465,2.4917,0.7695,193
414,191.1325,400838.0405,5318492.092,133.5734,51.7567,-0.9564,65.4158,42.1625,135.5467,2.3417,0.3877,197
415,143.3369,417835.3319,5372973.478,133.5734,51.0183,-1.474,63.955,50.725,132.4642,2.0917,0.7445,144
416,111.6384,448568.1204,5417935.631,133.5734,49.9275,-1.3785,63.7842,47.7158,131.4192,2.8917,0.8248,122
417,112.9626,452212.6747,5421599.173,133.5734,48.9675,-1.421,63.7225,47.6033,131.3767,2.7583,0.8723,120
418,96.1039,466586.0294,5462703.794,120.7396,46.8867,-1.8491,64.6442,50.6483,128.3767,1.975,0.4522,102
419,104.3049,468286.3351,5450702.567,92.1853,46.1892,-1.8403,63.8833,50.0892,129.3317,2.2167,0.8337,123
420,101.549,468303.3267,5448906.283,133.5734,46.43,-1.8109,64.1925,49.6708,129.8242,2.2583,0.7085,120
421,197.5521,396150.956,5306488.894,120.7396,47.8317,-0.9023,65.0858,36.2392,136.215,1.825,0.6475,211
422,182.7093,407056.5462,5328504.131,133.5734,52.6617,-1.0931,64.8758,44.535,134.6133,2.4333,0.6127,181
423,203.7613,405822.066,5318093.228,133.5734,51.3225,-0.9903,64.6433,41.6483,135.4517,2.325,0.8848,210
424,143.786,419147.8059,5373130.415,133.5734,51.0183,-1.474,63.955,50.725,132.4642,2.0917,0.7931,158
425,104.8809,456301.0739,5434921.879,120.7396,46.5883,-1.7325,64.2067,46.385,130.6825,2.3333,0.5603,111
426,95.576,472421.7207,5475919.528,92.1853,47.7242,-1.8643,64.9667,53.1475,127.2967,1.7833,0.6095,106
427,196.6251,396796.6965,5306982.696,120.7396,47.8317,-0.9023,65.0858,36.2392,136.215,1.825,0.6321,207
428,139.0707,417023.664,5376408.116,120.7396,51.0183,-1.474,63.955,50.725,132.4642,2.0917,0.7015,138
429,112.9828,449339.8125,5416810.078,133.5734,49.9275,-1.3785,63.7842,47.7158,131.4192,2.8917,0.6069,120
430,113.1055,453345.2252,5421026.4,133.5734,48.9675,-1.421,63.7225,47.6033,131.3767,2.7583,0.506,117
431,94.4517,464682.7862,5461679.21,120.7396,46.5658,-1.8563,64.88,49.4158,128.5217,1.8417,0.6608,101
432,102.4094,469915.6897,5453327.513,92.1853,46.6208,-1.8293,64.1583,50.81,129.3275,2.2667,0.8325,115
433,189.5329,396087.9311,5318930.928,120.7396,50.9108,-0.8855,66.1508,41.6825,135.8892,2.325,0.8573,197
434,175.2341,406469.7913,5333615.114,133.5734,53.2542,-1.0148,65.0075,47.155,134.3842,2.6417,0.6032,179
435,112.3365,435834.188,5411567.159,120.7396,49.4117,-1.4235,63.7333,45.035,131.6133,2.3917,0.8287,118
436,108.7772,440928.1621,5417488.808,120.7396,48.8558,-1.4403,63.2575,45.765,131.9183,2.5583,0.7249,111
437,109.4878,439587.6967,5416227.306,120.7396,48.8558,-1.4403,63.2575,45.765,131.9183,2.5583,0.6587,110
438,99.7745,472135.8151,5461889.09,133.5734,47.035,-1.8513,64.4292,51.9858,128.7167,2.1167,0.7894,116
439,104.0479,467060.8168,5440926.468,133.5734,47.6475,-1.8068,63.8292,50.6783,130.0783,2.575,0.7954,118
440,189.7972,395416.2012,5318553.078,120.7396,50.9108,-0.8855,66.1508,41.6825,135.8892,2.325,0.837,195
441,193.783,398762.8975,5311047.067,120.7396,49.0258,-0.9123,65.1042,37.9025,135.6108,1.8667,0.5594,201
