x,y,Nitrat,huek_250_he,buek_200_bodtyp,clc5_2018,gk_1000,humus_1000,hyraum_tr,Thuenen_2019,mundialis,NDVI
546246.3474,5464123.076,26.36666667,537,28,15,603,7,6203,160,20,7293
550792.4426,5450923.323,0.442857143,524,5,12,598,5,6301,91,60,6318
568687.1523,5300588.719,25.83125,324,2,17,98,8,4104,10,20,8091
591789.7903,5376324.11,36.46666667,324,26,2,516,5,4104,888,40,6205
451237.0698,5351836.957,2.5125,502,3,17,659,8,10101,888,10,8384
468401.2292,5407913.651,5.925,559,2,17,612,7,6202,888,10,8385
470836.2454,5400438.648,5.625,559,3,17,615,7,6202,888,10,8159
468869.0662,5379743.804,6.816666667,557,2,17,612,7,6202,888,10,8132
476939.1295,5474674.215,24.1875,263,14,3,659,7,3101,888,20,4763
479123.975,5360262.663,41.925,524,14,2,598,5,6301,888,40,5936
491307.2174,5464213.177,27.75,548,15,16,610,5,6201,888,20,8397
489350.8052,5306488.059,58.58,286,17,15,514,5,6402,10,20,7156
500642.344,5298842.155,17.46666667,321,5,15,98,8,4101,10,20,7634
516310.2373,5439258.003,58.8,521,17,12,597,5,6301,31,20,6564
514015.6579,5299387.146,8.566666667,290,14,15,98,7,4101,888,10,7668
546709.2501,5494004.064,35.29545455,537,32,15,603,5,6203,160,20,7568
539374.0398,5452358.798,2,524,2,12,598,5,6301,31,20,6176
553101.5718,5454642.776,2.86,524,2,12,598,5,6301,33,20,7192
555965.0878,5448708.476,31.82,524,2,12,598,5,6301,33,60,6295
554207.9908,5303706.003,0.5,321,12,15,98,8,4104,888,20,8009
402203.4981,5312608.427,48.24555556,267,32,12,24,12,3101,140,50,4828
399609.5994,5266566.833,5.128571429,321,32,3,24,7,6203,888,20,5752
437279.5708,5397094.928,34.75416667,267,32,15,24,5,3101,555,20,7498
455212.45,5394251.124,3.38,1065,2,17,615,7,10101,888,10,7933
454805.6148,5336264.07,9.025,559,3,17,612,7,6202,888,10,7950
473089.3375,5338944.092,26.6,524,2,18,598,5,6203,888,20,6733
465418.417,5336409.195,20.64166667,544,32,2,602,7,6203,888,20,7119
474334.879,5307555.531,9.04,469,5,2,583,7,6302,888,20,7079
478345.3205,5415824.493,34.9,544,14,1,604,12,6203,888,40,3898
477702.5741,5373015.575,32.84,537,28,16,602,7,6203,555,20,7759
507917.4832,5348300.534,7.125,469,15,3,579,7,6402,888,20,5604
514538.9622,5454946.73,23.74,469,32,15,603,5,6203,10,60,7391
536759.9186,5319011.283,34.93333333,321,14,3,33,5,4104,888,40,4732
534014.1865,5285708.658,22.16,290,5,15,98,8,4104,160,20,7045
538799.4839,5512694.49,17.72,465,2,15,612,7,6201,555,20,5583
542066.8199,5317388.856,66.43333333,324,14,2,515,7,4104,888,20,7168
551024.4038,5458655.248,10.16,469,32,14,607,7,6203,555,20,6879
554322.925,5304467.144,22.43076923,321,12,15,98,8,4104,555,20,7669
572165.5852,5361029.308,9.566666667,324,5,3,24,12,4104,888,40,4528
595031.5076,5395442.395,12.76666667,569,28,16,579,7,6402,888,10,8315
399945.3925,5315746.134,34.11111111,267,32,12,24,5,3101,92,60,6366
461438.0263,5393591.375,2.088888889,559,3,21,615,7,6202,888,10,8387
458352.267,5308419.183,11.05,537,5,15,602,7,6203,888,20,6493
471913.858,5408663.369,6.866666667,557,2,17,612,7,6202,888,10,8373
467652.5558,5352197.869,30.08571429,530,28,16,598,5,6203,888,10,7953
478448.2714,5415209.687,14.375,469,22,3,607,12,6203,888,40,3661
493088.7153,5299903.442,26.2,321,5,12,579,7,4104,31,60,7085
508061.4097,5348759.347,15.45,469,17,3,579,7,6402,888,40,5130
508441.9175,5315734.018,32.1,290,14,2,223,5,4101,888,40,4923
531724.9092,5358508.454,24.68888889,567,5,15,579,7,6402,888,20,7547
552154.119,5501887.867,40.5,530,15,12,603,5,6203,60,60,5929
564253.8156,5387193.864,29.54705882,303,32,16,579,7,6402,888,10,7571
593477.1894,5425547.348,52.44,513,2,2,585,7,6302,888,20,6733
399814.847,5266530.96,16.8,321,32,3,24,7,6203,888,50,6589
467409.746,5432983.587,54.42352941,537,32,15,603,12,6203,888,20,6452
479158.4342,5415538.257,4.175,469,22,3,607,12,6203,888,40,4459
490084.5929,5318024.537,7.875,469,32,15,579,7,6402,10,20,8243
490765.3202,5297276.709,38.05,321,14,12,98,7,4104,31,60,6561
509502.8352,5348444.455,9.7,469,32,3,579,7,6402,888,40,6494
500256.5783,5288363.336,23.775,321,14,15,98,8,4104,120,20,6778
517332.6214,5487214.678,9.64,548,32,15,610,7,6201,10,20,7488
531290.6552,5357720.836,14.1,569,5,2,579,7,6402,888,40,7161
545740.0638,5439552.016,45.06666667,515,2,12,596,7,6301,160,20,6757
556182.5228,5502022.835,43.09714286,530,34,12,603,5,6203,555,60,5571
551854.03,5444021.094,52.88,530,2,12,598,5,6203,92,60,6893
560251.7922,5488576.205,42.12666667,530,28,12,598,5,6203,33,10,5681
566832.1622,5480470.425,54.8125,544,28,15,604,5,6203,888,20,7607
571611.0733,5437103.785,28.75,519,2,2,597,5,6301,888,40,5784
565878.1689,5377637.62,47.15555556,495,32,2,579,7,6402,888,40,7053
567830.4958,5301248.545,20,321,2,15,98,8,4104,10,20,7872
591635.9516,5423549.15,13.08333333,508,5,15,585,7,6302,888,20,7011
458448.2048,5333620.186,10.475,559,2,15,610,7,6202,10,20,7412
465454.3626,5331318.191,22.2125,544,28,15,602,7,6203,10,20,7301
478363.4372,5414921.21,18.525,548,4,1,610,12,6202,888,20,4292
477158.7823,5402941.573,7.833333333,557,2,17,610,7,6202,888,10,8297
475684.3084,5379986.851,20.77272727,537,28,16,602,7,6203,888,20,8439
494416.8533,5376448.182,16.8,530,28,15,602,5,6301,888,20,6299
525085.7782,5287281.904,27.9,290,5,15,24,7,4101,10,20,8117
539772.8472,5447008.85,9.98,524,5,15,597,7,6301,555,20,6922
539058.9311,5375588.595,13.8,571,28,16,579,7,6402,888,10,8357
546312.1406,5316182.358,39.35555556,299,14,15,113,7,4104,10,60,7220
550078.8386,5470705.332,3.1,469,32,12,604,7,6203,888,50,4664
461839.8502,5400238.709,3.69375,559,3,17,659,7,6202,888,10,8369
462513.6409,5309508.782,16.3,467,14,2,444,12,6301,888,20,5577
485530.5781,5483195.649,6.88125,1065,2,17,654,7,6201,888,10,8514
479515.681,5415811.731,18,469,32,3,607,12,6203,888,40,4528
480253.697,5403024.062,19.1,559,32,11,615,7,6202,888,20,7694
480864.2707,5380797.46,41.64,537,28,15,602,5,6203,120,20,7527
495416.492,5347250.939,2.26,573,17,15,579,7,6402,888,10,8034
