GW-Nummer,x,y,Nitrat,huek_250_he*,buek_200_bodtyp*,clc5_2018*,gk_1000*,humus_1000*,hyraum_tr*,Thuenen_2019*,mundialis*,NDVI
25,502343.7026,5379946.787,7.82,515,2,16,596,7,6301,888,20,8383
26,503676.835,5338431.709,7.3875,571,28,15,579,12,6402,888,20,5131
27,511818.8654,5316697.046,30.4,290,14,15,516,5,4104,555,10,7087
28,503711.1263,5304591.977,12.72222222,287,2,18,98,7,4101,888,10,8389
29,520876.6545,5496929.933,8.8375,559,32,2,612,7,6201,888,40,7645
30,518908.4468,5364765.1,13.44,303,17,2,579,7,6402,888,20,6333
31,516258.2237,5302479.707,0.5,290,34,17,98,8,4101,888,10,8202
32,528423.4672,5458605.25,9.2125,524,28,16,598,7,6301,555,10,8620
33,530400.0788,5439587.52,10.32307692,517,2,16,596,7,6301,555,10,8618
34,535670.4091,5425298.613,12.21428571,517,34,17,596,7,6301,888,10,8560
35,535546.0372,5343819.406,8.954545455,568,28,12,514,7,6402,41,60,7675
36,524872.6471,5303831.34,48.77727273,299,14,15,113,8,4104,10,20,7084
37,531426.2018,5286219.34,4.01,286,17,18,514,8,4101,888,10,8662
38,536379.3507,5471076.274,23.45,537,28,15,603,5,6203,10,20,7332
39,545934.3393,5294084.324,27.3,321,5,18,24,5,4104,888,20,7997
40,543504.3678,5277601.921,12.58333333,321,14,18,113,8,4104,888,10,7920
41,549177.5774,5503589.673,45.87333333,544,15,15,604,7,6203,10,20,6325
42,549559.9952,5459110.026,29.66153846,469,32,3,607,7,6203,888,40,5802
43,557391.6997,5434125.004,4.16,517,2,18,596,7,6301,888,10,8545
44,559315.8948,5422184.791,7.7,515,2,17,596,7,6301,888,10,8707
45,556648.472,5333616.831,35.98,324,14,15,515,7,4104,555,20,7064
46,561524.99,5309060.33,10.42222222,286,2,17,223,8,4101,888,10,8114
47,551377.0793,5302057.087,27.55,290,14,18,98,8,4101,888,10,8464
48,568747.1764,5436354.026,24.275,517,2,18,596,7,6301,888,10,8682
49,569042.0204,5427537.588,14.875,517,2,17,596,7,6301,888,10,7954
50,568808.4358,5318775.886,73.62,324,14,15,305,8,4101,888,10,7413
51,563357.2803,5304814.109,16.2,321,12,12,113,3,4104,888,50,6815
52,577832.5444,5453549.235,42.4,524,34,15,598,5,6301,888,20,7408
53,582751.5987,5444468.838,4.24,516,2,16,597,7,6301,888,10,8431
54,581788.0615,5435998.032,7.32,517,2,16,597,7,6301,888,10,8382
55,582291.6205,5306396.417,12.28333333,324,2,17,514,7,4104,888,10,7675
56,581956.7438,5302552.933,19.25555556,286,2,17,305,7,4103,888,20,8103
57,590112.4987,5400189.559,21.65,495,2,17,579,5,6402,888,20,7220
58,596205.5027,5378162.943,31.43333333,324,32,3,24,7,4104,888,40,4867
59,419016.8121,5346400.003,4.8,502,2,18,807,7,3103,888,10,8602
60,422580.4046,5297659.505,3.955555556,1068,2,17,752,8,10101,888,10,8534
61,432100.523,5365218.804,5.7,1068,2,16,807,8,10101,555,20,7885
62,445276.4525,5296209.994,0.65625,498,4,17,834,8,10101,888,10,8169
